Name	Eads	Site_Type	Ag	Au	Cu	Ir	Pd	Pt	Rh	Ru	AWF	AEL	AELA	TotEl	AValEl	Avg_Mass	Avg_Adsorption_111	Avg_Adsorption_100	Avg_Charge	ADBND	ACN	CN1	CN2	CN3	CN4
11_13_22	-1.21741	2	0	1	1	0	0	0	0	0	4.875	2.22	1.775	2	1	130.26	-0.45	-0.55	-0.005128	-2.776571	5	4	6	0	0
11_13_22_59	-0.93995	3	0	2	1	0	0	0	0	0	4.95	2.327	1.953	3	1	152.497	-0.433	-0.533	0.088947	-2.991233	5	5	6	4	0
11_13_25	-0.64592	3	0	2	1	0	0	0	0	0	4.95	2.327	1.953	3	1	152.497	-0.433	-0.533	0.070843	-3.062287	5.667	7	5	5	0
11_23_25	-1.10917	4	0	1	3	0	0	0	0	0	4.763	2.06	1.508	4	1	96.905	-0.475	-0.575	-0.094831	-2.799055	7	7	8	5	8
11_23_50	-1.39874	3	0	1	1	0	0	1	0	0	5.227	2.24	1.893	12	4	151.867	-0.633	-0.767	0.134665	-3.221324	7.333	9	6	7	0
11_23_50_70	-2.15529	3	0	0	1	0	0	1	0	1	5.097	2.127	1.473	19	6.333	119.9	-0.933	-1.1	-0.07045	-3.351367	8	8	6	10	0
12_39_41	-1.60625	3	0	0	1	0	2	0	0	0	5.03	2.1	0.787	21	7	92.13	-0.767	-0.933	-0.061976	-2.710502	7	6	8	7	0
12_39_52	-1.28619	2	0	0	0	0	1	1	0	0	5.575	2.24	1.345	20	10	150.75	-0.95	-1.15	0.07789	-3.098945	6.5	7	6	0	0
12_41_66	-1.69092	2	0	0	0	0	1	0	1	0	5.1	2.24	0.85	19	9.5	104.665	-1	-1.2	-0.060496	-2.812605	7.5	7	8	0	0
13_25_40	-1.80367	3	0	0	1	0	1	1	0	0	5.267	2.127	1.31	21	7	121.683	-0.8	-0.967	0.003785	-2.73072	8	9	6	9	0
13_36_40	-2.73454	1	0	0	0	1	0	0	0	0	5.67	2.2	1.56	9	9	192.22	-1.2	-1.4	0.110366	-3.576731	7	7	0	0	0
13_36_59	-2.25488	3	0	0	0	1	0	0	2	0	5.21	2.253	1.28	27	9	132.68	-1.133	-1.333	0.033688	-3.226398	8.667	10	8	8	0
